favorite_count,media/0/type,reply_count,retweet_count,view_count
321586,photo,1243,21852,12013313
40024,photo,256,1153,3053125
64933,photo,130,2337,2183352
2515,animated_gif,48,136,376711
65436,,201,2668,3669964
18715,,33,600,1177485
32516,,546,1178,1807627
24229,,369,1855,2405356
3325,,7,22,235868
32368,photo,171,738,2210743
100551,photo,594,5594,3266688
41337,,215,1976,2419729
116774,,370,7342,8284327
23396,photo,57,816,1271561
105170,,552,2659,11191834
1030,photo,6,14,208979
8028,,93,454,544066
30380,,78,3095,2563531
23114,photo,19,221,1333112
79080,photo,389,1343,13408133
41312,,113,1872,2041554
22876,,69,1462,1437828
85783,photo,610,2980,5982423
35244,,475,2022,5313034
97004,,225,3155,5015233
69487,photo,662,4156,7690321
92096,,191,6495,9346163
26028,,119,1559,1910700
109784,photo,574,2084,10367701
28815,video,123,4824,2389786
2582,video,181,83,1181337
12429,photo,41,468,571821
42003,,412,1583,3117271
5462,,80,242,444147
52888,photo,340,2020,1918208
8234,,294,67,773510
105206,photo,277,7180,3068208
15872,photo,259,355,886397
35324,,135,1265,1403767
55806,,301,2047,2993305
8381,,108,214,501977
111851,photo,726,3415,3835702
38654,,277,1704,1929823
62346,photo,350,1790,3366910
357,,37,23,214196
28174,,354,1881,1340581
18714,photo,161,1157,925520
98064,,244,2589,10412482
89904,,248,6300,5207376
19604,,105,1771,991108
10104,,375,1162,881365
21073,,72,573,942519
23730,photo,62,429,1205727
4668,,39,107,381245
846,photo,25,70,334837
45110,photo,639,1297,4266374
10953,,98,117,897412
79291,video,551,6433,4500395
12493,,167,596,712015
3869,photo,102,248,466309
21897,,122,757,2519026
141731,photo,2114,6789,28521849
22897,video,107,1544,1408545
18096,photo,84,1205,691894
24851,photo,101,640,1475363
12901,,19,126,333312
161760,,505,6047,7587236
5910,,43,132,378683
5110,,49,64,336451
15859,,178,166,1529633
6885,,347,170,713227
40112,,172,1719,2685702
2413,animated_gif,77,57,289642
6510,,134,312,460452
192099,,299,8581,13405715
17369,photo,197,393,816038
20203,photo,141,1060,1071669
67446,photo,226,3484,2033397
59698,photo,233,3018,3973113
18155,,219,1182,807446
8594,photo,68,248,393696
8958,,50,207,456846
104806,photo,363,5273,5084849
6517,,19,45,282631
99174,photo,848,2506,3962071
4052,photo,227,236,1227292
8681,,87,276,482625
65030,,184,2987,3313844
108153,photo,816,7014,6376617
66487,photo,223,2811,2341731
36064,,309,1259,3408779
17346,,66,561,929622
137031,video,1028,9970,15361290
15657,,202,339,1062082
24399,,272,1403,1441856
39508,photo,328,1113,2652418
4384,,73,227,314976
118086,photo,225,9756,7627025
20198,photo,171,590,903557
21554,,74,488,1986145
182341,photo,573,9306,6282339
10429,,77,569,518623
36757,,154,1687,2641111
110533,photo,146,7047,6018338
71162,photo,414,4649,5771602
16478,photo,139,803,751882
12819,photo,117,506,656847
126675,,3142,5803,18057182
5080,,128,68,437804
60111,,137,2224,3190395
75632,video,1485,4841,7953657
43710,,182,1347,2168137
2069,,9,17,157969
12028,,113,376,1095584
58561,photo,164,2896,2485553
9444,,143,744,488169
12698,photo,140,714,651362
11621,,36,91,357041
100073,,422,5298,8549335
287608,photo,768,18004,9954402
106697,photo,230,5953,4085530
43712,photo,180,1973,1323747
27477,,255,1308,1581344
10325,,169,67,883765
5942,,98,263,502093
11409,,115,267,1076501
9677,,180,154,581501
63125,,394,3389,4701939
16312,,543,1065,1464499
3714,video,87,142,765597
81419,video,244,3517,8593758
35926,video,395,1566,2605839
94331,,1247,9491,
44262,photo,279,1153,1999809
20765,,105,1054,787401
9633,,46,95,332761
74932,photo,1051,1668,3120715
1826,,10,30,184191
15928,,148,631,759177
8013,photo,39,472,468530
18283,,43,825,1348444
10013,,81,987,638262
38566,,496,1442,2883953
19424,,51,314,453835
522,,77,86,259181
7217,video,161,355,702185
88404,,595,5695,5278714
24668,photo,105,1200,1151043
8108,,63,161,569144
110653,,256,7369,8475517
10967,,192,876,935378
20090,,112,1707,1233176
12662,,125,212,638743
42154,,421,2425,4371891
7401,,168,72,644213
18401,,91,565,554211
75886,,2749,3412,5175977
6867,,55,244,753808
5410,,76,182,568078
81987,,766,6769,11133515
65785,photo,128,2839,2245349
6846,video,23,289,337724
10966,,1114,309,1078565
14715,,95,588,854253
81310,,204,5286,9704414
69795,photo,311,5613,2833993
5953,,63,319,353432
514,,3,11,163281
1998,,41,23,268341
9853,photo,355,176,1601173
122613,,516,8912,13210996
14292,,115,1196,714391
14209,,219,652,781266
19189,,91,593,1285959
10394,photo,81,306,568004
9831,,141,249,579081
167854,photo,1779,5281,34243944
19333,,458,867,1247172
5352,,72,95,344573
96956,photo,175,3305,6450690
32394,,117,2430,1464762
77712,photo,299,4992,3695222
25953,photo,134,1869,1325216
7404,,61,63,632050
4134,,65,423,330888
44424,,256,807,4418707
134909,photo,754,5058,5927820
41452,,99,1424,1819367
146637,,496,11892,10124393
10087,,222,1041,741123
139491,photo,512,13072,7639603
13420,,103,1489,653893
14468,,91,463,663277
39292,,159,2062,2665798
10992,,32,208,574432
308719,,398,22250,15306243
14255,,316,1455,825326
18672,,97,407,1306679
22031,photo,83,835,1006556
11300,,83,425,380703
56315,,749,3417,2652085
70931,photo,157,2456,3183968
6047,,68,495,402736
82255,,719,6909,8645672
29564,,287,2802,1742203
13029,,83,307,1257318
27384,photo,182,1221,1179973
3330,,67,337,294006
3229,,71,235,348898
54391,photo,1414,1415,5047556
107903,,407,8872,4101848
2600,,7,7,248058
30733,,323,1624,1865719
17398,,44,130,607690
90427,photo,336,2132,5782441
2593,,7,22,221969
46436,,147,2687,4101863
25217,photo,155,1278,1653179
53178,photo,579,5495,3842941
14279,,91,594,663614
172977,photo,1391,9715,11865136
6845,video,138,413,1584978
11358,,279,424,689124
7793,,64,312,396450
63216,photo,237,1807,6415755
12685,,137,1446,553414
7472,,32,330,708930
10991,,35,142,401269
46924,,379,1857,3437990
130615,,353,9313,13801001
31311,,384,2770,1321431
175957,photo,450,9099,6618793
5770,photo,5,77,302952
41514,,134,1179,4443625
6380,,80,256,417439
55385,photo,369,2671,2662666
161043,,779,9530,15528651
19903,,1041,1061,1456863
68673,photo,591,5364,3803550
4534,,21,36,485309
8217,,24,538,293563
61693,,417,3449,3721217
186147,photo,1098,10280,14196573
9095,,75,601,481039
5951,,68,598,282831
26659,,205,1929,1033247
137433,photo,480,5835,6601816
95528,photo,3355,3230,5638024
18742,,135,1381,802591
52586,,479,1715,2380479
7386,,65,423,366745
16022,,137,1869,494058
10822,,106,529,490852
70557,photo,210,3067,2330960
3928,,38,254,280529
16816,photo,92,367,925483
35896,,318,1831,3447507
11998,,134,2364,
12050,,80,1634,505335
16123,,232,699,979277
73976,photo,120,1580,3881637
21001,,134,2227,1149379
12031,,53,635,966677
1432,,8,29,160983
13089,,210,778,689818
15331,,96,362,986835
61122,photo,181,7214,2907089
19704,,767,2799,1033109
116358,,2143,3578,7769246
68144,,514,3495,5049915
35508,,246,3046,1659427
43070,,101,2259,2477935
23660,,98,911,1604810
7737,,49,55,412540
42663,video,398,3029,4478004
112148,photo,680,4782,4220398
87758,video,459,4716,5360212
4117,video,77,205,674216
5176,,48,18,274806
76268,,193,4002,4608953
70296,,354,6064,3547169
82657,photo,435,7250,4146271
7263,photo,77,388,472666
19691,,174,2303,1157054
12823,photo,110,1263,641077
15284,video,23,714,699226
1642,,82,45,464747
163333,photo,1431,6961,8201558
42806,,168,1757,2195197
5007,photo,14,54,312100
57208,,213,1335,2564781
21151,,192,620,1546093
34106,,200,901,1586939
34775,,76,2007,1961590
32685,photo,118,679,1848613
23548,photo,377,808,1241935
53008,,234,2727,4861482
21375,,670,1271,1377413
60836,,257,4291,5846640
15850,,117,681,733382
91085,,1520,3285,6940151
180319,,509,10765,15738498
25842,photo,213,449,1649893
6973,,114,172,586498
39865,video,250,3051,3050889
2201,,152,25,320521
441,photo,0,3,194185
20362,,247,1439,1244436
2403,,8,38,156163
